timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197955064,59,Resource-0,301,Moved Permanently,Thread Group 1-1,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,59,0,0
1704197955123,61,Resource-1,301,Moved Permanently,Thread Group 1-1,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,61,0,0
1704197955184,714,Resource-2,200,OK,Thread Group 1-1,text,true,,233341,130,10,10,https://www.simplilearn.com/resources,80,0,0
1704197952312,3625,Business,200,OK,Thread Group 1-3,text,true,,1469758,389,10,10,https://www.simplilearn.com/business,71,0,0
1704197952312,71,Business-0,301,Moved Permanently,Thread Group 1-3,text,true,,577,130,10,10,http://www.simplilearn.com/business/,71,0,0
1704197952384,356,Business-1,301,Moved Permanently,Thread Group 1-3,text,true,,720,130,10,10,https://www.simplilearn.com/business/,356,0,0
1704197952740,3197,Business-2,200,OK,Thread Group 1-3,text,true,,1468461,129,10,10,https://www.simplilearn.com/business,93,0,0
1704197951914,4490,Business,200,OK,Thread Group 1-6,text,true,,1469766,389,10,10,https://www.simplilearn.com/business,74,0,0
1704197951914,74,Business-0,301,Moved Permanently,Thread Group 1-6,text,true,,577,130,10,10,http://www.simplilearn.com/business/,74,0,0
1704197951988,76,Business-1,301,Moved Permanently,Thread Group 1-6,text,true,,720,130,10,10,https://www.simplilearn.com/business/,76,0,0
1704197952064,4340,Business-2,200,OK,Thread Group 1-6,text,true,,1468469,129,10,10,https://www.simplilearn.com/business,257,0,0
1704197955674,1032,Resource,200,OK,Thread Group 1-7,text,true,,234376,392,10,10,https://www.simplilearn.com/resources,71,0,0
1704197955674,71,Resource-0,301,Moved Permanently,Thread Group 1-7,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,71,0,0
1704197955745,71,Resource-1,301,Moved Permanently,Thread Group 1-7,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,71,0,0
1704197955816,890,Resource-2,200,OK,Thread Group 1-7,text,true,,233349,130,10,10,https://www.simplilearn.com/resources,105,0,0
1704197955938,845,Homepage,200,OK,Thread Group 1-3,text,true,,282657,302,10,10,https://www.simplilearn.com/,70,0,0
1704197955938,70,Homepage-0,301,Moved Permanently,Thread Group 1-3,text,true,,568,181,10,10,http://www.simplilearn.com/,70,0,0
1704197956009,774,Homepage-1,200,OK,Thread Group 1-3,text,true,,282089,121,10,10,https://www.simplilearn.com/,85,0,0
1704197955900,1671,Business,200,OK,Thread Group 1-1,text,true,,1469758,389,10,10,https://www.simplilearn.com/business,80,0,0
1704197955900,80,Business-0,301,Moved Permanently,Thread Group 1-1,text,true,,577,130,10,10,http://www.simplilearn.com/business/,80,0,0
1704197955981,61,Business-1,301,Moved Permanently,Thread Group 1-1,text,true,,720,130,10,10,https://www.simplilearn.com/business/,61,0,0
1704197956042,1529,Business-2,200,OK,Thread Group 1-1,text,true,,1468461,129,10,10,https://www.simplilearn.com/business,71,0,0
1704197955721,1905,Resource,200,OK,Thread Group 1-2,text,true,,234376,392,10,10,https://www.simplilearn.com/resources,67,0,0
1704197955721,67,Resource-0,301,Moved Permanently,Thread Group 1-2,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,67,0,0
1704197955788,74,Resource-1,301,Moved Permanently,Thread Group 1-2,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,74,0,0
1704197955862,1764,Resource-2,200,OK,Thread Group 1-2,text,true,,233349,130,10,10,https://www.simplilearn.com/resources,94,0,0
1704197956406,1280,Homepage,200,OK,Thread Group 1-6,text,true,,282658,302,10,10,https://www.simplilearn.com/,412,0,0
1704197956406,412,Homepage-0,301,Moved Permanently,Thread Group 1-6,text,true,,568,181,10,10,http://www.simplilearn.com/,412,0,0
1704197956818,868,Homepage-1,200,OK,Thread Group 1-6,text,true,,282090,121,10,10,https://www.simplilearn.com/,207,0,0
1704197957571,448,Homepage,200,OK,Thread Group 1-1,text,true,,282680,302,10,10,https://www.simplilearn.com/,59,0,0
1704197957571,59,Homepage-0,301,Moved Permanently,Thread Group 1-1,text,true,,568,181,10,10,http://www.simplilearn.com/,59,0,0
